game_id,inning,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_lob,away_lob
718734,6,0,0,1,2,0,0,1,3
718734,7,0,0,0,0,0,0,0,0
718734,8,0,0,0,1,0,0,0,1
718734,9,0,0,1,0,0,0,2,0
718736,1,1,0,1,1,0,0,0,1
718736,2,0,0,0,0,0,0,1,0
718736,3,0,0,1,0,0,0,2,0
718736,4,0,0,0,0,0,0,0,0
718736,5,0,1,2,2,0,0,2,1
718736,6,0,0,0,0,0,0,0,0
718736,7,0,0,0,1,1,0,1,1
718736,8,0,0,0,1,0,0,2,0
718736,9,0,1,0,4,0,0,0,2
718733,1,0,0,0,2,0,0,0,2
718733,2,0,0,0,0,0,0,0,0
718733,3,3,0,3,0,0,0,0,0
718733,4,0,0,1,0,0,0,2,0
718733,5,0,0,0,0,0,0,0,0
718733,6,0,0,0,1,0,0,0,1
718733,7,0,1,0,1,0,0,0,0
718733,8,0,0,0,0,0,0,0,1
718733,9,,0,0,0,0,0,0,0
718735,1,1,0,3,0,0,0,2,0
718735,2,0,3,0,2,0,0,0,1
718735,3,3,0,4,1,0,0,2,0
718735,4,0,0,0,0,0,0,0,0
718735,5,1,1,1,3,0,1,1,1
718735,6,0,0,0,1,0,0,0,1
718735,7,0,1,0,2,0,0,0,1
718735,8,0,0,1,0,0,0,1,0
718735,9,0,0,0,0,0,0,0,1
718735,10,0,1,0,0,1,0,1,2
718739,1,0,0,2,1,0,0,1,2
718739,2,1,0,1,1,0,0,0,1
718739,3,0,0,1,0,0,0,1,0
718739,4,0,1,0,3,0,0,0,2
718739,5,1,0,2,1,0,0,0,1
718739,6,0,0,1,2,0,0,1,2
718739,7,0,0,1,1,0,0,1,0
718739,8,0,0,0,0,0,0,0,0
718739,9,,0,0,0,0,0,0,0
718731,1,0,0,0,0,0,0,1,2
718731,2,0,0,0,1,0,0,0,0
718731,3,1,0,1,1,0,0,1,1
718731,4,2,0,3,0,0,0,1,0
718731,5,7,0,4,0,0,0,1,0
718731,6,0,0,1,0,0,0,1,1
718731,7,0,0,0,0,0,0,2,0
718731,8,0,0,1,1,0,0,1,3
718731,9,,0,0,0,0,0,0,2
718730,1,0,0,0,0,0,0,0,0
718730,2,0,2,1,2,0,0,1,2
718730,3,0,1,0,2,0,0,0,1
718730,4,0,0,2,0,0,0,1,0
718730,5,0,4,0,4,0,0,0,1
718730,6,0,0,0,0,0,0,0,1
718730,7,2,0,1,0,0,0,1,1
718730,8,1,0,1,1,0,0,0,1
718730,9,0,5,0,5,0,0,0,2
718728,1,3,3,4,5,0,0,1,2
718728,2,1,0,2,1,0,1,1,2
718728,3,0,0,0,0,0,0,0,0
718728,4,0,0,1,0,0,0,3,0
718728,5,3,3,2,3,0,0,0,1
718728,6,0,0,1,1,0,0,1,1
718728,7,0,0,0,0,0,0,0,3
718728,8,0,0,0,0,0,0,0,0
718728,9,,0,0,2,0,0,0,2
718729,1,0,1,1,1,0,0,1,0
718729,2,0,3,1,2,0,0,0,0
718729,3,0,2,0,2,0,0,0,1
718729,4,0,2,1,2,1,0,1,1
718729,5,1,0,2,0,0,0,2,0
718729,6,0,0,1,0,0,0,1,0
718729,7,0,2,1,2,0,0,0,0
718729,8,0,0,3,0,0,0,3,0
718729,9,0,1,2,1,0,0,1,0
718732,1,0,2,0,2,0,0,0,0
718732,2,0,1,0,2,1,0,0,1
718732,3,0,0,1,0,0,0,1,1
718732,4,0,1,1,1,0,0,1,0
718732,5,0,0,0,1,0,0,0,1
718732,6,0,0,0,0,0,0,0,0
718732,7,1,0,1,0,0,1,2,0
718732,8,0,1,0,1,0,0,0,0
718732,9,1,1,1,2,1,0,1,1
718725,1,2,0,2,0,0,0,3,0
718725,2,0,0,0,2,0,0,0,2
718725,3,1,0,1,1,0,0,0,1
718725,4,0,1,0,2,0,0,0,1
718725,5,5,0,4,2,0,0,2,1
718725,6,0,0,0,1,0,0,0,1
718725,7,0,0,1,2,0,0,3,2
718725,8,0,0,1,0,0,0,2,0
718725,9,,0,0,1,0,0,0,1
718724,1,5,3,3,4,0,1,0,2
718724,2,0,1,1,1,0,0,1,0
718724,3,0,1,0,1,0,0,1,1
718724,4,0,2,1,2,0,0,2,0
718724,5,0,0,1,0,0,0,3,0
718724,6,1,0,2,1,0,0,2,1
718724,7,0,0,0,0,1,0,0,0
718724,8,0,0,1,0,0,0,2,0
718724,9,0,0,1,0,0,0,1,0
718719,1,3,0,4,0,0,0,1,0
718719,2,0,0,0,1,0,0,0,2
718719,3,0,0,0,0,0,0,1,0
718719,4,4,0,5,0,0,0,0,0
718719,5,0,1,0,1,0,0,0,1
718719,6,2,0,1,1,0,0,0,2
718719,7,0,2,0,4,0,0,0,3
718719,8,0,1,0,1,0,0,2,1
718719,9,,1,0,2,0,0,0,1
718727,1,1,1,2,2,0,0,1,0
718727,2,0,5,0,5,0,0,1,1
718727,3,0,0,1,0,0,0,2,1
718727,4,2,0,3,0,0,0,1,1
718727,5,0,0,2,0,0,0,2,0
718727,6,0,0,1,0,0,0,1,0
718727,7,1,2,1,3,0,0,0,1
718727,8,0,0,1,0,0,0,2,1
718727,9,0,0,1,0,0,0,1,0
718726,1,0,0,0,1,0,0,0,1
718726,2,0,0,1,1,0,0,2,0
718726,3,0,0,0,0,0,0,1,1
718726,4,0,1,0,1,0,0,0,0
718726,5,0,1,0,1,0,1,1,0
718726,6,0,0,0,0,0,0,0,0
718726,7,0,0,0,0,0,0,0,0
718726,8,0,0,0,0,0,0,0,2
718726,9,0,0,0,0,0,0,0,0
718723,1,0,0,0,0,0,0,2,0
718723,2,0,2,1,4,0,0,1,2
718723,3,0,0,0,0,0,1,1,0
718723,4,0,0,0,1,0,0,0,0
